phys_height,phys_x_speed,phys_y_speed,phys_z_speed,phys_pitch,phys_roll,phys_yaw,phys_mp_distance_y,phys_mp_distance_z,cyb_frame.len,cyb_frame.protocols,cyb_wlan.duration,cyb_wlan.bssid,cyb_wlan.frag,cyb_wlan.seq,cyb_llc.type,cyb_ip.hdr_len,cyb_ip.len,cyb_ip.flags,cyb_ip.ttl,cyb_ip.proto,cyb_tcp.srcport,cyb_tcp.dstport,cyb_tcp.seq_raw,cyb_tcp.ack_raw,cyb_tcp.hdr_len,cyb_tcp.flags,cyb_tcp.window_size,cyb_tcp.options,cyb_udp.srcport,cyb_udp.dstport,cyb_udp.length,cyb_data.data,cyb_data.len,cyb_wlan.fc.type,cyb_wlan.fc.subtype,cyb_time_since_last_packet,Target_Label
70.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-15.0,91.0,26.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.000287,Benign
80.0,0.0,0.0,0.0,0.0,0.0,-103.0,-3.0,83.0,26.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.023544,Benign
70.0,0.0,0.0,3.0,0.0,0.0,-3.0,-200.0,-200.0,229.0,3.0,44.0,0.0,0.0,303.0,2048.0,20.0,195.0,0.0,255.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,8890.0,175.0,53.0,167.0,2.0,8.0,0.044461,Benign
80.0,-2.0,0.0,0.0,-1.0,0.0,175.0,-3.0,80.0,234.0,3.0,44.0,0.0,0.0,458.0,2048.0,20.0,200.0,0.0,255.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,8890.0,180.0,62.0,172.0,2.0,8.0,0.058687,Benign
70.0,0.0,-1.0,0.0,0.0,0.0,0.0,12.0,82.0,26.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.074827,Benign
80.0,-2.0,0.0,0.0,-1.0,-1.0,178.0,-24.0,83.0,239.0,2.0,44.0,0.0,0.0,1500.0,2048.0,20.0,205.0,0.0,255.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,8890.0,185.0,39.0,177.0,2.0,8.0,0.000267,Benign
70.0,0.0,0.0,0.0,-7.0,-2.0,0.0,12.0,81.0,98.0,0.0,320.0,0.0,0.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.001324,Benign
60.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,82.0,86.0,2.0,44.0,0.0,0.0,294.0,2048.0,20.0,52.0,64.0,128.0,6.0,51495.0,53.0,2365841552.0,0.0,32.0,2.0,64240.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.04038,Benign
60.0,0.0,0.0,0.0,0.0,0.0,95.0,2.0,83.0,228.0,3.0,44.0,0.0,0.0,169.0,2048.0,20.0,194.0,0.0,255.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,8890.0,174.0,11.0,166.0,2.0,8.0,0.01695,Benign
70.0,0.0,0.0,0.0,0.0,0.0,178.0,-8.0,82.0,230.0,3.0,44.0,0.0,0.0,615.0,2048.0,20.0,196.0,0.0,255.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,8890.0,176.0,17.0,168.0,2.0,8.0,0.01468,Benign
