height,x_speed,y_speed,z_speed,pitch,roll,yaw,mp_distance_y,mp_distance_z,Target_Label
80.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,86.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,86.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,85.0,Benign
80.0,0.0,0.0,0.0,-1.0,0.0,0.0,-9.0,84.0,Benign
80.0,0.0,0.0,0.0,-1.0,0.0,0.0,-10.0,84.0,Benign
80.0,0.0,0.0,0.0,-1.0,0.0,0.0,-10.0,85.0,Benign
80.0,0.0,0.0,0.0,-1.0,0.0,0.0,-15.0,84.0,Benign
80.0,1.0,0.0,0.0,-3.0,-1.0,0.0,-11.0,85.0,Benign
80.0,1.0,0.0,0.0,-1.0,0.0,0.0,-6.0,83.0,Benign
80.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,82.0,Benign
70.0,1.0,0.0,0.0,-1.0,0.0,0.0,-3.0,82.0,Benign
70.0,0.0,0.0,0.0,-1.0,0.0,0.0,-4.0,81.0,Benign
70.0,1.0,0.0,0.0,-1.0,-2.0,0.0,-4.0,82.0,Benign
70.0,0.0,0.0,0.0,-1.0,0.0,0.0,-4.0,82.0,Benign
70.0,0.0,0.0,0.0,-1.0,0.0,0.0,-5.0,82.0,Benign
80.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-9.0,83.0,Benign
80.0,0.0,0.0,0.0,-1.0,0.0,0.0,-13.0,82.0,Benign
80.0,0.0,0.0,0.0,-1.0,0.0,0.0,-18.0,81.0,Benign
80.0,3.0,0.0,0.0,-8.0,0.0,0.0,-17.0,83.0,Benign
80.0,2.0,0.0,0.0,0.0,0.0,0.0,-16.0,85.0,Benign
80.0,2.0,0.0,0.0,-1.0,0.0,0.0,-19.0,87.0,Benign
80.0,2.0,0.0,0.0,-1.0,0.0,0.0,-22.0,89.0,Benign
80.0,2.0,0.0,0.0,-1.0,0.0,0.0,-27.0,88.0,Benign
80.0,2.0,0.0,0.0,-1.0,0.0,0.0,-23.0,92.0,Benign
80.0,2.0,0.0,0.0,-1.0,0.0,0.0,-15.0,95.0,Benign
80.0,1.0,0.0,0.0,-1.0,1.0,0.0,-11.0,92.0,Benign
80.0,0.0,0.0,0.0,0.0,-3.0,0.0,14.0,82.0,Benign
80.0,0.0,0.0,0.0,-4.0,0.0,0.0,11.0,81.0,Benign
80.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,83.0,Benign
80.0,0.0,0.0,0.0,-1.0,0.0,0.0,15.0,80.0,Benign
70.0,-2.0,-1.0,0.0,4.0,-4.0,0.0,21.0,80.0,Benign
70.0,-3.0,-3.0,0.0,-1.0,0.0,0.0,-20.0,87.0,Benign
70.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,-10.0,84.0,Benign
70.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-7.0,82.0,Benign
70.0,0.0,0.0,0.0,-3.0,0.0,0.0,-5.0,81.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,81.0,Benign
70.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,82.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,83.0,Benign
80.0,4.0,0.0,0.0,0.0,0.0,0.0,-12.0,84.0,Benign
70.0,2.0,0.0,0.0,-1.0,-1.0,0.0,-21.0,82.0,Benign
80.0,2.0,0.0,0.0,-1.0,-1.0,0.0,-22.0,85.0,Benign
80.0,2.0,0.0,0.0,-1.0,-1.0,0.0,-17.0,85.0,Benign
70.0,2.0,-1.0,0.0,-1.0,-1.0,0.0,11.0,80.0,Benign
80.0,1.0,-1.0,0.0,2.0,-1.0,0.0,8.0,78.0,Benign
80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,79.0,Benign
80.0,2.0,0.0,0.0,-1.0,0.0,0.0,7.0,79.0,Benign
