Model,Domain,ROC-AUC (%),PR-AUC (%),Anomaly F1 (%),Balanced Acc (%),Precision (%),Recall (%),False Alarm Rate (%),Latency (us/sample),Model Size (KB),Threshold,Recall: DoS (%),Recall: Evil_Twin (%),Recall: FDI (%),Recall: Replay (%)
Isolation Forest (Best F1),Physical,89.19,98.34,92.82,52.25,87.01,99.45,94.95,2.5,772.5,0.3288,97.33,100.0,100.0,98.05
Isolation Forest (5% FAR),Physical,89.19,98.34,87.25,87.19,99.32,77.8,3.42,2.5,772.5,0.5408,3.59,99.98,99.88,9.03
One-Class SVM (Best F1),Physical,89.52,98.4,92.96,53.4,87.28,99.42,92.62,4.76,18.3,-4.626,97.02,100.0,100.0,98.05
PCA Reconstruction (Best F1),Physical,89.67,98.41,92.76,50.58,86.61,99.84,98.68,0.09,1.4,0.0121,99.08,100.0,100.0,99.59
Deep Autoencoder (Best F1),Physical,89.65,98.41,92.77,50.42,86.58,99.91,99.07,16.83,42.0,0.0121,99.49,100.0,100.0,99.79
Deep Autoencoder (5% FAR),Physical,89.65,98.41,88.02,87.46,99.18,79.13,4.2,16.83,42.0,0.7008,6.16,100.0,100.0,17.45
Isolation Forest (Best F1),Cyber,85.75,97.95,95.89,50.52,92.15,99.94,98.9,1.81,1245.2,0.3639,99.94,100.0,100.0,99.9
Isolation Forest (5% FAR),Cyber,85.75,97.95,56.74,67.17,98.84,39.79,5.45,1.81,1245.2,0.6097,18.3,99.98,99.97,14.77
One-Class SVM (Nystroem),Cyber,89.97,99.06,95.88,50.14,92.09,100.0,99.72,6.56,138.4,-21.1702,100.0,100.0,100.0,99.99
PCA Reconstruction (Best F1),Cyber,87.94,98.86,95.88,50.09,92.08,99.99,99.82,0.27,3.6,0.0,100.0,100.0,100.0,99.98
Deep Autoencoder (Best F1),Cyber,92.92,99.35,95.88,51.23,92.25,99.81,97.35,15.3,58.0,0.0,99.79,100.0,100.0,99.69
Deep Autoencoder (5% FAR),Cyber,92.92,99.35,92.23,89.99,99.4,86.03,6.05,15.3,58.0,0.0261,83.67,100.0,100.0,77.67
Multimodal iForest (Best F1),Fused,94.01,98.99,95.39,81.24,94.83,95.97,33.49,2.49,1095.3,0.4483,89.32,100.0,100.0,76.59
Multimodal iForest (5% FAR),Fused,94.01,98.99,87.77,86.75,98.95,78.86,5.36,2.49,1095.3,0.5614,8.42,100.0,100.0,12.94
Multimodal PCA (Best F1),Fused,96.55,99.47,96.23,91.19,98.03,94.5,12.12,0.91,5.0,0.1574,84.39,100.0,100.0,69.1
Multimodal Autoencoder (Best F1),Fused,95.93,99.38,95.81,87.56,96.86,94.78,19.66,19.79,64.0,0.2368,83.78,100.0,100.0,72.07
Multimodal Autoencoder (5% FAR),Fused,95.93,99.38,92.01,90.28,99.03,85.92,5.36,19.79,64.0,0.4922,40.76,100.0,100.0,40.25
Multimodal Late Score Fusion,Fused,89.51,98.39,92.77,50.19,86.52,99.99,99.61,32.13,100.0,0.0,99.9,100.0,100.0,100.0
