timestamp,flight_time,ground_truth,phys_height,phys_vx,phys_vy,phys_vz,phys_pitch,phys_roll,phys_yaw,phys_a_mag,phys_r_h,phys_chi2,cyb_pkt_rate,cyb_inter_arrival,cyb_bad_packets,l1_violation,l1_reason,l2_predicted_class,l2_confidence,l2_prob_benign,l2_prob_dos,l2_prob_replay,l2_prob_evil_twin,l2_prob_fdi,l2_reason
1789759232.569,1.184,Benign,0.000,0.000,0.000,0.000,0.29,-0.00,0.00,0.000,0.000,0.000,20.00,0.0500,0,False,"Baseline Initialization",Benign,1.000,1.0000,0.0000,0.0000,0.0000,0.0000,"Nominal Stream"
1789759232.772,1.386,Benign,15.128,0.470,0.090,0.100,0.28,-0.06,2.21,2.413,15.108,235.819,1578.89,0.0001,0,True,"Vertical Kinematic Discontinuity (|rh|=15.11m > 3.0m)",Replay,0.950,0.0200,0.0100,0.9500,0.0100,0.0100,"Timestamp Regression (1103ms < 1428789ms)"
1789759232.973,1.587,Benign,15.149,0.460,0.110,0.100,0.27,-0.07,2.61,0.111,0.001,0.658,646.82,0.0001,0,False,"Nominal Kinematics",Replay,0.950,0.0200,0.0100,0.9500,0.0100,0.0100,"Timestamp Regression (1303ms < 1429039ms)"
1789759233.173,1.788,Benign,-0.006,-0.010,0.010,0.000,0.26,-0.08,3.21,2.447,-15.155,1042.023,330.18,0.0830,0,True,"Vertical Kinematic Discontinuity (|rh|=15.15m > 3.0m)",Replay,0.950,0.0200,0.0100,0.9500,0.0100,0.0100,"Timestamp Regression (1604ms < 1429289ms)"
1789759233.335,1.950,Benign,15.189,0.430,0.140,0.090,0.25,-0.09,3.41,2.886,15.180,1047.543,260.27,0.0617,0,True,"Vertical Kinematic Discontinuity (|rh|=15.18m > 3.0m)",Replay,0.950,0.0200,0.0100,0.9500,0.0100,0.0100,"Timestamp Regression (1704ms < 1429289ms)"
1789759866.148,1.029,Benign,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.000,0.000,0.000,20.00,0.0500,0,False,"Baseline Initialization",Benign,1.000,1.0000,0.0000,0.0000,0.0000,0.0000,"Nominal Stream"
1789759866.322,1.204,Benign,12.657,-0.010,0.010,-2.220,0.20,0.20,-7.41,12.702,13.045,514.145,1864.64,0.0002,0,True,"Vertical Kinematic Discontinuity (|rh|=13.05m > 3.0m)",DoS,0.980,0.0100,0.9800,0.0050,0.0030,0.0020,"Packet Flood (1864.6 pkts/s > 70 pkts/s)"
1789759866.472,1.354,Benign,13.182,-0.010,0.010,-1.970,0.21,0.20,-7.41,1.666,0.821,4.650,458.75,0.0003,0,False,"Nominal Kinematics",DoS,0.980,0.0100,0.9800,0.0050,0.0030,0.0020,"Packet Flood (458.7 pkts/s > 70 pkts/s)"
1789759866.677,1.558,Benign,13.182,-0.010,0.010,-1.970,0.21,0.20,-7.41,0.000,0.402,0.978,505.29,0.0003,0,False,"Nominal Kinematics",DoS,0.980,0.0100,0.9800,0.0050,0.0030,0.0020,"Packet Flood (505.3 pkts/s > 70 pkts/s)"
1789759866.926,1.808,Benign,13.643,-0.010,0.010,-1.700,0.21,0.19,-7.41,1.081,0.886,2.237,333.62,0.0002,0,False,"Nominal Kinematics",DoS,0.980,0.0100,0.9800,0.0050,0.0030,0.0020,"Packet Flood (333.6 pkts/s > 70 pkts/s)"
1789759867.138,2.020,Benign,14.034,-0.010,0.010,-1.420,0.21,0.17,-7.41,1.321,0.692,3.026,201.04,0.1622,0,False,"Nominal Kinematics",DoS,0.980,0.0100,0.9800,0.0050,0.0030,0.0020,"Packet Flood (201.0 pkts/s > 70 pkts/s)"
1789759867.327,2.208,Benign,14.356,-0.010,0.010,-1.150,0.20,0.17,-7.41,1.433,0.539,3.465,184.70,0.0002,0,False,"Nominal Kinematics",DoS,0.980,0.0100,0.9800,0.0050,0.0030,0.0020,"Packet Flood (184.7 pkts/s > 70 pkts/s)"
